BscStartDate,Asset,OriginalShorttext,PMType,Cost
2002-06-14,B,RH120C-BUCKET FRONT LIP CHANGEOUT,PM02,0
2002-06-18,B,Change LH bucket roll cylinder,PM01,12803.84
2002-06-18,B,Change bucket lip.,PM01,778.56
2002-06-18,B,fit teeth to bucket,PM01,258.72
2002-06-20,B,REPLACE WEAR PACKAGE LOWER WALL,PM01,214.88
2002-06-27,B,air con. not getting cold.,PM01,214.88
2002-08-02,B,"Missing adapter,tooth and pins",PM01,159.25
2002-09-12,B,L/H BUCKET CYL GLAND SEAL LEAKING,PM01,0
2002-10-03,B,REPLACE MISSING BUCKET TOOTH,PM01,1532.37
2002-10-14,B,repair wear package rhs inside bkt wall,PM01,1739.36
2002-10-29,B,replace tip,PM01,676.11
2003-01-10,B,replace adaptor & tip,PM01,641.62
2003-01-20,B,replace lip shroud,PM01,153.67
2003-01-28,B,WELD CRACK IN LH LIP EAR(FRONT),PM01,0
2003-02-08,B,replace tip,PM01,166.81
2003-02-14,B,change out damaged lip,PM01,8774.59
2003-02-19,B,replaced adaptor,PM01,844.6
2003-02-22,B,replace stick to bucket hose,PM01,1203.26
2003-04-08,B,REPLACE BUSTED LIP PIVOT GREASE LINES,PM01,59.38
2003-04-11,B,LH LIP EAR CRACKED,PM01,118.76
2003-04-13,B,Change out bucket clam (lip),PM01,4853.36
2003-04-27,B,replace 2 lost tips,PM01,606.92
2003-05-01,B,replace lh outer adapter & tip,PM01,442.73
2003-05-20,B,recover lower wear edge plate (CC1500),PM01,893.1
2003-06-05,B,replace tooth,PM01,1043.88
2003-06-09,B,refit lip shroud,PM01,268.5
2003-06-11,B,replace tooth & adaptor,PM01,3244.06
2003-06-23,B,oil leak rh boom valve clam pipe adapter,PM01,124.12
2003-06-29,B,replace tooth & adaptor,PM01,0
2003-07-04,B,repair crack in lh front lip ear,PM01,631.5
2003-07-18,B,replace rh lip shroud!,PM01,244.04
2003-08-01,B,fit new tooth,PM01,528.59
2003-08-10,B,replace adaptor  COMPLETED,PM01,491.98
2003-08-11,B,replace teeth,PM01,159.61
2003-08-27,B,replace tip & pin  completed,PM01,180.8
2003-09-07,B,replace busted grease hose bucket pin,PM01,892.22
2003-09-18,B,R/H BUCKET ROD CYL GLAND SEAL LEAKING,PM01,2881.21
2003-10-03,B,Repair broken grease line on bucket,PM01,0
2003-10-27,B,replace adaptor & tooth,PM01,1264.05
2003-11-14,B,lost tooth COMPLETED,PM01,162.47
2003-11-24,B,replace lip shroud lock,PM01,148.19
2003-12-31,B,bucket clam gard is falling off,PM01,295.06
2004-01-01,B,replace grease line on bucket,PM01,300.49
2004-02-16,B,Replace centre tooth,PM01,557.5
2004-02-18,B,oil leak dist. block rear of bucket,PM01,4.53
2004-02-24,B,replace broken bucket lube fittings,PM01,465.54
2004-02-25,B,REPAIR BROKEN GREASE FITTING ON BUCKET.,PM01,399.04
2004-03-09,B,replace tooth,PM01,862.46
2004-03-11,B,Reorder bucket tips SHD16,PM01,930
2004-03-23,B,Replace bucket tip,PM01,153.96
2004-04-06,B,GET SUSPENTION ROPE SOCKETS,PM01,244.74
2004-04-06,B,REPLACE LEFT HAND LIP SHROUD,PM01,1028.19
2004-04-12,B,replace tooth,PM01,354.1
2004-04-12,B,Broken grease line on bucket,PM01,244.74
2004-04-13,B,replace adaptor keeper pin,PM01,249.55
2004-03-01,C,REPLACE BUCKET TEETH,PM01,3368.74
2004-04-11,C,REPAIR DAMAGED BUCKET,PM06,6491.14
2004-05-14,C,REPLACE BROKEN LUBE FITTING / BUCKET,PM01,0
2004-05-28,C,WELD NPB07 ON SPARE BUCKET,PM01,480.56
2004-08-27,C,WELD MODS TO BUCKET,PM01,1647.73
2004-10-28,C,MINING ~ GET,PM01,503.78
2004-11-05,C,REPLACE RIGHT HAND TOOTH,PM01,690.82
2004-11-10,C,L/ H BUCKET TOOTH BROKEN,PM01,593.81
2004-11-17,C,CHANGE BUCKET TEETH.,PM01,3604.93
2004-12-18,C,BUCKET TEETH BROKEN  X  2,PM01,1292.72
2005-01-08,C,REPLACE BUCKET PIN,PM01,157.64
2005-01-20,C,REPLACE MISSING BUCKET TEETH,PM01,1648.79
2005-03-27,C,REPLACE DAMAGED LUBE LINE ON RHS BUCKET,PM01,0
2005-05-04,C,REPLACE BROKEN BUCKET GREASE LINE.,PM01,165
2005-05-21,C,REPLACE BROKEN GREASE LINE ON BUCKET,PM01,73.33
2005-06-05,C,REPAIR BROKEN GREASE LINE ON BUCKET,PM01,205.14
2005-06-12,C,REPAIR BROKEN GREASE FITTING ON BUCKET,PM01,410.29
2005-07-08,C,REPAIR GREASE LINES ON BUCKET PIN,PM01,107.93
2005-08-18,C,REPLACE GREASE LIN TO BUCKET PIN,PM01,164.14
2005-09-19,C,WEAR PLATES COMING OF CLAM-REPAIR BUCKET,PM01,342.48
2005-09-28,C,CHANGEOUT ~ BUCKET ASSEMBLY. SWAPPED OVE,PM02,4528.35
2005-10-04,C,REPLACE O RING ON BUCKET CLAM HOSE,PM01,0
2005-10-20,C,REPLACE BOOM TO BUCKET HOSE.,PM01,1714.79
2005-10-25,C,REPLACE BUCKET TOOTH,PM01,850.25
2005-10-27,C,REPLACE GREASE LINES TO BUCKET PINS,PM01,0
2005-11-27,C,REPLACE GREASE LINES ON BUCKET,PM01,858.06
2005-12-07,C,REPLACE CORNER TOOTH,PM01,589.34
2005-12-28,C,SLOW BUCKET CLAM ACTION,PM01,2550.55
2006-02-22,C,REPAIR SHD23 SPARE BUCKET,PM01,4941.44
2006-02-25,C,CHANGE OUT 1 X BROKEN TOOTH,PM01,670.46
2006-03-14,C,REPLACE / Tips broken off teeth,PM01,2357.37
2006-03-28,C,REPLACE ONE BUCKET TOOTH,PM01,589.34
2006-04-17,C,NOT REQUIRED - SEE BUCKET CO 20579959,PM02,0
2006-04-24,C,REPLACE LEAKING HOSE AT BUCKET,PM01,1882.81
2006-04-28,C,OIL LEAK BUCKET CLAM,PM01,0
2006-04-28,C,REPAIR CRACK ON BUCKET,PM01,0
2006-09-20,C,BUCKET CLAM PIPE LEAKING L/H,PM01,4726.09
2006-09-30,C,REPLACE LEAKING HOSE  AT BUCKET,PM01,3293.94
2006-10-12,C,REPLACE CLAM CIRCUIT HOSE- STICK /BUCKET,PM01,2000.12
2006-10-29,C,REPLACE BUCKET TEETH,PM01,1224.24
2006-10-30,C,REPLACE BUCKET TEETH 2 OFF,PM01,1308.24
2006-11-14,C,REPAIR BUCKET CRACKS,PM01,1165.7
2006-11-22,C,BUCKET CROWD HOSE U/S    @ R40S,PM01,1994.16
2007-02-15,C,REPLACE BUCKET GREASE LINE,PM01,161.96
2007-03-05,C,CHANGE OUT BUCKET TEETH,PM01,5136.74
2007-03-06,C,BUCKET PIN COMING OUT,PM01,1675.56
2007-04-21,C,REPLACE BUCKET TOOTH,PM01,718.49
2007-05-29,C,broken bucket tooth,PM01,612.12
2007-06-28,C,bucket teeth worn. REPLACE SERVICE DAY 1,PM01,4524.18
2007-06-29,C,BROKEN GREASE LINE ON BUCKET,PM01,0
2007-07-05,C,"CRACK REPAIRS ON BOOM,STICK,BUCKET.",PM01,0
2007-07-12,C,BROKEN GREASE LINE ON BUCKET,PM01,0
2007-07-23,C,REPLACE 2 BUCKET TEETH AND KEEPERS,PM01,1362.78
2007-08-29,C,REPLACE ONE BROKEN BUCKET TOOTH,PM01,540.12
2007-11-04,C,REPLACE ONE MISSING BUCKET TOOTH,PM01,1318.96
2007-11-25,C,GREASE LINE ON BUCKET BROKEN,PM01,146.9
2008-02-01,C,BROKEN GREASE LINE ON BUCKET.,PM01,194.2
2008-02-03,C,REPLACE FULL SET BUCKET TEETH,PM01,4970.46
2008-02-06,C,REPLACE BUCKET TOOTH.,PM01,426.41
2008-03-03,C,CHANGEOUT ~ BUCKET ASSEMBLY,PM02,29679.15
2008-06-28,C,REPLACE BROKEN BUCKET TOOTH,PM01,4253.97
2008-07-07,C,GREASE LINE BROKEN ON BUCKET,PM01,256.48
2008-07-13,C,BLOWN HYDRAULIC OIL HOSE ON BUCKET,PM01,5341.32
2008-07-15,C,BROKEN BUCKET TEETH,PM01,1512.37
2008-09-01,C,REPLACE BUCKET TOOTH,PM01,701.27
2008-09-13,C,STEEL TUBE ON BUCKET CLAM BROKEN,PM01,0
2008-09-14,C,REPLACE MISSING BUCKET TOOTH.,PM01,701.27
2008-09-14,C,LH BUCKET CROWD CYLINDER LEAKING,PM01,0
2008-10-02,C,REPLACE MISSING BUCKET TOOTH,PM01,3024.74
2008-10-18,C,REPAIRS TO R/H BUCKET RAM  HYD HOSE,PM01,1920.16
2008-10-19,C,REPLACE MISSING TOOTH,PM01,701.43
2008-10-24,C,Offsite Repair RH120 bucket SHD23 Oct 08,PM01,109451.45
2008-11-05,C,REPAIR  BUCKET WEAR PLATES - BROKEN AWAY,PM01,0
2008-11-30,C,REPLACE TWO BROKEN TEETH,PM01,1403.16
2008-12-28,C,REPLACE BUCKET TOOTH,PM01,789.39
2009-03-02,C,REPLACE R.H CORNER BUCKET TOOTH,PM01,889.68
2009-03-24,C,REPLACE BUCKET TOOTH,PM01,806.22
2009-03-30,C,BUCKET TOOTH BROKEN OFF,PM01,3769.26
2009-03-30,C,CHANGEOUT BUCKET,PM01,7774.83
2009-04-03,C,REPLACE 2 LOST TEETH,PM01,1714.5
2009-04-05,C,REPLACE LOST CENTRE BUCKET TOOTH,PM01,701.77
2009-04-26,C,GREASE LINE ON LHS OF BUCKET BROKEN,PM01,138.21
2009-05-01,C,ONE BUCKET TOOTH HAS FALLEN OFF,PM01,1241.89
2009-05-17,C,REPAIR BLOWN BUCKET HOSE.,PM01,0
2009-05-18,C,Offsite Repair RH120E May  09,PM01,105784.35
2009-07-01,C,MINING GET - SHD023 FY10,PM05,12356.89
2009-07-30,C,TWO BUCKET TEETH BROKEN,PM01,1604.08
2009-08-25,C,REPLACE BUCKET TOOTH.,PM01,701.77
2009-10-11,C,CRACKS UNDER HEEL OF BUCKET,PM01,1568
2009-10-17,C,C/O R/H BUCKET CLAM CYLINDER,PM01,4682.12
2009-11-03,C,REPLACE LUBE HOSE TO BUCKET,PM01,0
2009-11-23,C,Off Site Repair RH120E November 2009,PM01,216816.49
2009-12-20,C,Change out bucket teeth.,PM01,6496.88
2010-01-16,C,REPLACE MISSING BUCKET TOOTH.,PM01,2358.57
2010-01-17,C,REPLACE A MISSING BUCKET TOOTH,PM01,926.89
2010-02-05,C,REPLACE BUCKET TOOTH,PM01,1008.19
2010-03-10,C,BUCKET TOOTH MISSING    @R10,PM01,66.43
2010-04-30,C,REPLACE MISSING BUCKET TOOTH.,PM01,974.53
2010-05-06,C,REPAIR BUCKET WEAR PLATES,PM01,0
2010-05-26,C,BUCKET CRACKS,PM01,0
2010-06-17,C,REPLACE BUCKET TOOTH,PM01,1624.22
2010-06-28,C,REPLACE MISSING BUCKET TOOTH.,PM01,5133.07
2010-07-01,C,MINING GET - SHD0023 FY11,PM05,845.17
2010-07-14,C,REPLACE LH BUCKET CYL HOSES,PM01,1731.37
2010-09-14,C,CHANGE OUT BUCKET,PM01,3222.88
2011-03-25,C,CHANDE BUCKET TOOTH,PM01,670.5
2011-05-01,C,REPAIR & REPLACE GREASE HOSES BUCKET,PM01,9300.14
2011-05-08,C,REPLACE MISSING BUCKET TOOTH,PM01,1844.9
2011-05-08,C,GREASE LINES BROKEN AT BUCKET,PM01,998.67
2011-05-12,C,L/H PIN WALKING OUT ON BUCKET CLAM LOWER,PM01,1743.12
2011-07-03,C,HEATER NOT GETTING WARM,PM01,1304.5
2011-07-06,C,OIL LEAK AT BACK OF BUCKET,PM01,559.07
2011-08-08,C,round plate r/h side of bucket fallen of,PM01,1645.9
2011-10-07,C,REPAIR SPARE BUCKET SHD23.,PM01,267231.39
2003-07-17,D,Replace tooth on bucket,PM01,954.93
2003-08-12,D,No bucket crowd  COMPLETED,PM01,245.99
2003-10-31,D,Replace bucket with 20m3 style.,PM01,10635.51
2003-11-03,D,Replace TML hire bucket GET,PM01,24138.57
2003-11-06,D,remove G.E.T gear,PM01,423.98
2003-11-12,D,replace bucket tooth.,PM01,663.48
2003-11-16,D,replace tip & lock,PM01,496.52
2003-11-18,D,replace tooth on shovel,PM01,504.49
2003-12-05,D,REPLACE TOOTH,PM01,725.79
2003-12-15,D,refit adaptor,PM01,147.53
2003-12-20,D,lost 2 tips,PM01,1008.98
2004-02-02,D,replace tooth(tip),PM01,903.53
2004-02-16,D,Repair LH bucket bore,PM01,332.53
2004-02-23,D,bucket tooth missing.,PM01,637.5
2004-02-24,D,replace adaptor,PM01,704.01
2004-03-12,D,replace missing tip,PM01,369.62
2004-03-12,D,replace missimg tip,PM01,609.1
2004-03-23,D,replace tooth,PM01,504.49
2004-03-26,D,replace tooth,PM01,1861.55
2004-03-31,D,repair centre suport inside bucket,PM01,479.61
2004-04-08,D,replace missing tooth,PM01,1158.52
2004-04-20,D,replace tooth,PM01,516.37
2004-05-14,D,Replace Bucket tip,PM01,474.31
2004-05-18,D,Broken grease line on bucket,PM01,0
2004-06-07,D,Repair Rock Breaker in Bucket,PM01,2073.75
2004-06-07,D,Replace chipped tooth,PM01,1447.99
2004-06-07,D,Replace Tooth,PM01,1003.25
2004-06-28,D,replace broken teeth,PM01,1037.24
2004-07-06,D,replace tip,PM01,664.19
2004-07-09,D,replace teeth,PM01,513.05
2004-08-01,D,replace missing tooth,PM01,518.62
2004-08-08,D,lost tooth,PM01,518.62
2004-08-11,D,replace missing tooth,PM01,518.62
2004-08-15,D,replace bucket tooth,PM01,828.78
2004-08-17,D,replace bucket tooth cracked on outside,PM01,1002.82
2004-08-23,D,Replace bucket tooth.,PM01,1301.48
2004-08-30,D,Bucket cracking (HISTORY),PM01,1873.5
2004-09-07,D,replace missing tooth,PM01,882.91
2004-09-20,D,change broken tooth,PM01,892.5
2004-10-13,D,replace tip and lock,PM01,518.62
2004-10-21,D,Replace bucket tip,PM01,518.62
2004-11-22,D,Rock breaker in bucket cracked at base,PM01,1345
2005-01-07,D,Changed outside teeth,PM01,1643.59
2005-01-10,D,Replace bucket tooth.complete,PM01,606.35
2005-01-14,D,cutter bar cracked,PM01,757.94
2005-02-04,D,Bucket won't crowd,PM01,0
2005-02-25,D,Enweld.Repiar rock breaker on bucket,PM01,3132.25
2005-03-01,D,Repair Cracks on Bucket,PM01,815.63
2005-03-28,D,Replace tooth and adaptor.,PM01,180.51
2005-03-30,D,replace tooth,PM01,879.64
2005-04-17,D,replace lost bucket tooth,PM01,819.47
2005-04-18,D,replace tooth,PM01,939.81
2005-06-30,D,crack in welds on wear package .,PM01,2223.13
2005-07-06,D,replace tooth,PM01,289.37
2005-07-07,D,Replace tooth,PM01,1307.04
2005-07-09,D,new teeth,PM01,1695.15
2005-07-11,D,replace tooth,PM01,90.6
2005-07-15,D,replace tooth,PM01,598.45
2005-07-30,D,Replace tooth.,PM01,747.83
2005-09-30,D,Replace broken grease line bucket pivot,PM01,350.37
2005-11-05,D,replace teeth,PM01,2020.3
2005-12-11,D,replace tooth,PM01,1300.17
2005-12-12,D,Oil leak on bucket cylinder hose,PM01,2079.14
2005-12-19,D,Remove Bucket cyls,PM01,537.13
2005-12-21,D,bucket cut off tripped,PM01,0
2005-12-24,D,Bucket wont crowd fully in,PM01,153.47
2005-12-29,D,new tooth,PM01,619.91
2006-01-17,D,welding repairs in bucket,PM01,0
2006-01-22,D,Change lost bucket tooth,PM01,598.45
2006-01-30,D,replace tooth,PM01,1301.46
2006-02-16,D,replaced losted tooth,PM01,598.45
2006-03-11,D,Lost bucket tooth,PM01,921.64
2006-04-02,D,replace tooth,PM01,610.54
2006-04-03,D,Replace missing bucket tooth,PM01,1375.68
2006-04-06,D,Repair cracks in rock breaker,PM01,1190.22
2006-04-24,D,replace tooth,PM01,782.08
2006-04-26,D,Replace tooth on SHD24 bucket,PM01,2770.65
2006-04-26,D,Fit bucket tooth,PM01,952.11
2006-04-29,D,replace tooth.,PM01,612.81
2006-05-05,D,Lost tooth,PM01,1232.12
2006-05-18,D,Replace missing tooth on Shd24,PM01,902.94
2006-06-01,D,Refit bucket tip,PM01,193.88
2006-06-02,D,replace outside tooth,PM01,702.59
2006-06-02,D,lost tooth,PM01,612.81
2006-06-04,D,Replace broken tooth on SHD24,PM01,1139.75
2006-06-15,D,Repair bucket cracks,PM01,716.62
2006-06-16,D,REPLACE GREASE LINE LEFT HAND BUCKET,PM01,0
2006-07-15,D,replace tooth,PM01,700.53
2006-07-15,D,Replace lost Tooth,PM01,350.89
2006-07-17,D,Lost a tooth,PM01,612.81
2006-07-27,D,Supply grease pump adaptors,PM01,593.66
2006-08-05,D,Replace Teeth,PM01,800.26
2006-08-20,D,Replaced another bucket teeth pin,PM01,181.02
2006-08-30,D,replace tooth,PM01,612.81
2006-09-07,D,Repair cracks in rock breaker,PM01,620
2006-09-14,D,Bucket tooth missing,PM01,1086.82
2006-10-18,D,Lost outside tooth,PM01,612.81
2006-10-19,D,Rock breaker cracked,PM01,0
2006-10-22,D,Replace missing tooth SHD24,PM01,2503.2
2006-11-24,D,Replace missing tip,PM01,745.1
2006-12-06,D,Aircons not getting cold SHD24,PM01,165.49
2006-12-21,D,Rock breaker cracked,PM01,0
2007-01-05,D,Replace tooth,PM01,929.55
2007-01-21,D,Replace bucket tip,PM01,771.18
2007-01-21,D,Replace r/h bucket cylinder SHD24,PM01,22024.22
2007-01-23,D,replace gease line on bucket,PM01,0
2007-01-25,D,Replace Tooth,PM01,475.11
2007-01-31,D,Replace bucket tip,PM01,761.11
2007-02-14,D,replace bucket tooth,PM01,709.75
2007-02-18,D,Replace tooth and lock,PM01,96.94
2007-02-24,D,tooth missing off bucket,PM01,612.81
2007-03-01,D,Repair cracks in adaptor & lip shroud,PM01,0
2007-03-06,D,Leaking pipe on bucket crowd cylinder,PM01,1143.1
2007-03-06,D,replace tooth,PM01,1079.2
2007-03-10,D,Replace missing tooth SHD24,PM01,1410.34
2007-03-10,D,Replace bucket tooth& adaptor on SHD24,PM01,0
2007-03-17,D,Replace tip on bucket,PM01,797.53
2007-03-20,D,A/C not getting cold,PM01,486.31
2007-03-21,D,rock breaker cracked in bucket,PM01,5143.81
2007-03-23,D,bkt replacement and arm overru,PM01,1015.98
2007-03-28,D,Change bucket tips,PM01,6788.77
2007-04-01,D,Replace bucket lube line on SHD24,PM01,192.17
2007-04-16,D,Repair cracking on bottom of bucket,PM01,77.94
2007-04-16,D,Replace outer adaptor,PM01,2057.63
2007-05-13,D,Replace lube lines on bucket pins,PM01,513.12
2007-05-16,D,Replace Bucket linkage arms,PM02,26531.73
2007-06-24,D,replace bucket tooth,PM01,2016.78
2007-07-05,D,repairs to coal bucket,PM01,58376.37
2007-09-13,D,Replace machine bucket,PM01,5156.89
2007-09-18,D,Cracked mount r/h shin guard on bucket,PM01,977.5
2007-09-21,D,lost bucket tooth,PM01,1508.21
2007-09-24,D,Replace lost pin on teeth,PM01,372.2
2007-10-04,D,Replace lost tooth SHD24,PM01,999.81
2007-10-05,D,Replace bucket tooth,PM01,1280.34
2007-10-22,D,Replace bucket tooth,PM01,0
2007-10-31,D,Replace missing tooth,PM01,1637.24
2007-11-02,D,Refit missing tooth LH corner SHD24,PM01,973.14
2007-11-02,D,Lost outer tooth,PM01,1305.25
2007-11-08,D,grease line broen r/h side of bucket,PM01,249.08
2007-11-09,D,Replace tooth,PM01,1139.39
2007-11-10,D,Replace bucket tooth pin SHD24,PM01,1175.76
2007-11-11,D,Replace missing bucket tooth SHD24,PM01,973.4
2007-11-11,D,Replace missing bucket tooth SHD24,PM01,982.43
2007-11-18,D,Replace bucket lube line SHD24,PM01,0
2007-11-22,D,SHD24 replace tooth,PM01,1199.21
2007-11-27,D,Lost tooth,PM01,433.6
2007-11-28,D,Replace missing tooth on SHD0024,PM01,999.78
2007-12-01,D,replace middle adaptor,PM01,1071.24
2007-12-06,D,leaking pipe on bkt cyl lhs lower,PM01,1231.77
2007-12-30,D,Lost bucket tip,PM01,101.49
2008-01-03,D,identif plate to be welded coal bkt,PM01,0
2008-02-05,D,replace tooth and pin,PM01,1185.9
2008-02-18,D,CHANGEOVER BUCKETS will require a franna,PM01,3599.09
2008-02-29,D,Change bucket teeth on SHD24 rock bucket,PM01,882.18
2008-05-07,D,Changeout RH bucket cyl hose SHD24,PM01,2883.92
2008-06-03,D,gease system aduit on bucket,PM01,376.78
2008-06-06,D,replace lip shroud,PM01,535.19
2008-06-23,D,Replace lip shroud SHD0024,PM01,723.98
2008-07-30,D,right hand outer lip shroud broken,PM01,1467.13
2008-08-28,D,Lip cracking at adaptor welds,PM01,731.62
2008-09-17,D,Bucket cylinder creeping,PM01,1246.46
2008-09-25,D,LH Bucket crowd top servo hose leaking,PM01,0
2008-10-01,D,replace right lipshroud,PM01,515.76
2008-10-31,D,Repair bucket grease lines,PM01,694.77
2008-11-14,D,Lost  LH tooth SHD0024,PM01,109.6
2008-11-14,D,Replace centre lip shroud SHD0024,PM01,1959.18
2008-12-22,D,Replace RH corner tooth SHD0024,PM01,9040.45
2008-12-29,D,replace lip shroud,PM01,2383.27
2009-01-15,D,Grease Leak front of bucket,PM01,167.41
2009-01-15,D,Oil leak adaptor LH Fan pump,PM01,7.54
2009-01-19,D,Replace tooth & keeper SHD0024,PM01,1805.99
2009-03-17,D,Replace lube line bucket cylinder,PM01,741.14
2009-04-01,D,Crack in lhs stick bucket cyl mounts sti,PM01,14060.55
2009-04-04,D,Broken grease line on bucket,PM01,465.18
2009-04-17,D,Replace weldment & right hand lip shroud,PM01,1644.38
2009-04-26,D,Replace o ring on bucket hosing,PM01,235.42
2009-05-24,D,Replace LHS lip shroud SHD24,PM01,2478.41
2009-06-26,D,Lost tooth,PM01,1067.14
2009-06-27,D,Lost tooth,PM01,1888.16
2009-07-06,D,Lost tooth,PM01,751.91
2009-07-07,D,Replace al  bucket tips,PM01,7145.3
2009-07-19,D,Replace broken tooth SHD24,PM01,2078.28
2009-08-27,D,Replace LHS lip shroud SHD24,PM01,1858.45
2009-08-27,D,Lost tooth SHD0024,PM01,1522.91
2009-08-28,D,Bucket pins dry - lube fault,PM01,4307.96
2009-09-08,D,4 X Tooth Adaptors cracked,PM01,1280.33
2009-10-12,D,Lost Tooth On Bucket SHD0024,PM01,11079.75
2009-10-22,D,Replace o ring bucket crowd line.  fixed,PM01,2.98
2009-10-27,D,Crack in wear plate inside Bucket,PM01,0
2009-10-31,D,Lost 2 teeth SHD0024,PM01,222.43
2009-11-05,D,Lube line off bucket pin,PM01,692.06
2009-11-20,D,Lost Tooth On Bucket SHD0024,PM01,222.03
2009-11-24,D,Replace bucket-stick pin retainer bolts,PM01,103.09
2009-12-03,D,Wear plates to be welded to outside LIP,PM01,33.06
2010-02-08,D,Replace bucket tip pin,PM01,453.02
2010-02-10,D,Lost lip shroud keeper SHD24,PM01,904.49
2010-02-13,D,Replace broken lube line on bucket,PM01,0
2010-03-19,D,Bucket slow SHD24,PM01,1027.84
2010-03-23,D,Replace pins & bushes Stick to Bucket,PM01,60714.08
2010-03-28,D,Tooth pin coming out,PM01,879.27
2010-04-13,D,Replace CYLINDER BUCKET - RIGHT,PM01,48100.38
2010-04-18,D,Lost 2 lip shrouds SHD24,PM01,4763.98
2010-04-26,D,Broken Grease line on bucket SHD24,PM01,240.89
2010-05-20,D,Replace wear strips & Package on Bucket,PM01,6711.5
2010-05-24,D,Bucket creeping in operation,PM01,1372.96
2010-05-30,D,Lh Lower Bucket Cyl Hse Blown,PM01,2455.89
2010-06-05,D,Broken grease hose on bucket pin,PM01,190.95
2010-06-08,D,WARR Replace RH Bucket cyl  Bypassing,PM01,84.38
2010-06-29,D,Replace wear strips & Package on Bucket,PM01,427
2010-06-29,D,Replace Bucket cyl Retaining plate bolts,PM01,12.6
2010-06-30,D,lost lip shroud,PM01,302
2010-07-17,D,Lost lip shroud,PM01,2236.86
2010-07-18,D,Lost tooth,PM01,1804.65
2010-07-18,D,Lost lip shroud,PM01,2381.46
2010-07-27,D,Lip shrouds on Bucket loose,PM01,472.93
2010-07-27,D,Replace wear strips & Package on Bucket,PM01,0
2010-08-21,D,Replace broken grease line on bucket,PM01,371.14
2010-08-27,D,replace tooth,PM01,667.94
2010-08-30,D,Broken grease line on bucket,PM01,0
2010-09-04,D,shd 24 - Bucket not responding 100%,PM01,371.14
2010-09-09,D,Fit out bucket,PM01,10490.42
2010-09-10,D,Replace tooth,PM01,1324.27
2010-09-13,D,Lost tooth SHD24,PM01,1249.93
2010-09-24,D,No hydraulics for bucket crowd,PM01,179.21
2010-09-26,D,lube not getting to pressure,PM01,19718.42
2010-10-09,D,Replace missing tooth SHD24,PM01,1297.62
2010-10-10,D,Replace tooth SHD24,PM01,716.83
2010-10-17,D,Replace adaptor and tooth,PM01,111.23
2010-11-03,D,Replace bucket tooth,PM01,1052.58
2010-11-04,D,Lost keeper from tip,PM01,0
2010-11-16,D,craking in bucket lip rock bucket,PM01,0
2010-11-29,D,SHD 24 - Lost all bucket functions,PM01,4535.01
